##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	1_2015-04-01_vendors-sort-downsample.bam
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	10074315
Sequences flagged as poor quality	0
Sequence length	23-101
%GC	49
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	32.91219293817991	34.0	33.0	34.0	31.0	34.0
2	33.074814714449566	34.0	33.0	34.0	31.0	34.0
3	33.117030785715954	34.0	33.0	34.0	31.0	34.0
4	36.431920879980424	37.0	37.0	37.0	35.0	37.0
5	36.42106316905914	37.0	37.0	37.0	35.0	37.0
6	36.418344373786205	37.0	37.0	37.0	35.0	37.0
7	36.41189778163577	37.0	37.0	37.0	35.0	37.0
8	36.40010392766158	37.0	37.0	37.0	35.0	37.0
9	38.2715218851108	39.0	39.0	39.0	37.0	39.0
10-11	38.26170022477955	39.0	39.0	39.0	37.0	39.0
12-13	38.22217788504727	39.0	39.0	39.0	37.0	39.0
14-15	39.792209346243396	41.0	40.0	41.0	38.0	41.0
16-17	39.75863257204088	41.0	40.0	41.0	38.0	41.0
18-19	39.75260064828229	41.0	40.0	41.0	38.0	41.0
20-21	39.737507264761916	41.0	40.0	41.0	38.0	41.0
22-23	39.685761612576144	41.0	40.0	41.0	38.0	41.0
24-25	39.649309322699295	41.0	40.0	41.0	37.0	41.0
26-27	39.580438975795275	41.0	40.0	41.0	37.0	41.0
28-29	39.52156392529601	41.0	40.0	41.0	37.0	41.0
30-31	39.45675188228105	41.0	40.0	41.0	37.0	41.0
32-33	39.385361007826845	41.0	40.0	41.0	36.5	41.0
34-35	39.31363622420321	41.0	40.0	41.0	36.0	41.0
36-37	39.22508474472121	41.0	39.0	41.0	36.0	41.0
38-39	39.147449351016675	41.0	39.0	41.0	35.0	41.0
40-41	39.04623672184202	41.0	39.0	41.0	35.0	41.0
42-43	38.923041582447	41.0	39.0	41.0	35.0	41.0
44-45	38.79819044350447	41.0	39.0	41.0	35.0	41.0
46-47	38.65932603794275	41.0	38.0	41.0	35.0	41.0
48-49	38.51759275672583	40.0	38.0	41.0	35.0	41.0
50-51	38.34587778350879	40.0	38.0	41.0	34.0	41.0
52-53	38.16398185328613	40.0	37.0	41.0	34.0	41.0
54-55	37.96864678377791	40.0	37.0	41.0	34.0	41.0
56-57	37.748405673398366	40.0	36.0	41.0	33.5	41.0
58-59	37.49248297508113	39.5	35.5	41.0	33.0	41.0
60-61	37.24349678422787	39.0	35.0	41.0	33.0	41.0
62-63	36.971771512902464	39.0	35.0	41.0	33.0	41.0
64-65	36.68358076041109	38.0	35.0	41.0	33.0	41.0
66-67	36.37797776069248	37.0	35.0	40.0	32.0	41.0
68-69	36.04693104919863	37.0	35.0	40.0	32.0	41.0
70-71	35.70434002672068	36.0	35.0	39.0	31.5	41.0
72-73	35.35392584154559	36.0	35.0	39.0	31.0	41.0
74-75	35.018045986522026	35.0	35.0	38.5	31.0	40.5
76-77	34.86533352031205	35.0	35.0	37.0	31.0	39.5
78-79	34.702371875924065	35.0	35.0	37.0	31.5	39.0
80-81	34.4902055950333	35.0	35.0	36.5	32.0	39.0
82-83	34.2448032625807	35.0	35.0	36.0	32.0	38.0
84-85	34.022891584321314	35.0	35.0	36.0	31.5	37.0
86-87	33.81891755635818	35.0	35.0	35.5	31.0	37.0
88-89	33.65538963943061	35.0	35.0	35.0	31.0	36.0
90-91	33.51530272724249	35.0	35.0	35.0	31.0	36.0
92-93	33.38705781565726	35.0	34.0	35.0	31.0	36.0
94-95	33.26975568213837	35.0	34.0	35.0	31.0	36.0
96-97	33.163676070362726	35.0	34.0	35.0	31.0	35.5
98-99	33.05273800964656	35.0	34.0	35.0	31.0	35.0
100-101	32.88945778138866	35.0	34.0	35.0	30.5	35.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1103	24-25	0.2179866807321531
1103	26-27	0.1823753730542066
1103	28-29	0.21106875386877277
1103	30-31	0.2106124836874983
1103	32-33	0.2301246512288344
1103	34-35	0.23167531385458773
1103	36-37	0.2246212931364795
1103	38-39	0.20830849178545918
1103	40-41	0.21694377198174664
1103	42-43	0.20045955467515597
1103	44-45	0.2121719726938025
1103	46-47	0.19224970427187316
1103	48-49	0.1635354600343888
1103	50-51	0.14594782816610774
1103	52-53	0.18560108639762518
1103	54-55	0.16068967492308417
1103	56-57	0.17327356863361842
1103	58-59	0.16959623582784644
1103	60-61	0.21245811307046836
1103	62-63	0.17866001822027044
1103	64-65	0.1789304647713763
1103	66-67	0.11542663197126757
1103	68-69	0.11890840910529477
1103	70-71	0.12172542353405191
1103	72-73	0.14583150741195539
1103	74-75	0.14178383319386256
1103	76-77	0.11664847033936354
1103	78-79	0.13945042874894398
1103	80-81	0.17164869335746147
1103	82-83	0.16724886433566866
1103	84-85	0.1875269038035441
1103	86-87	0.1852061041389561
1103	88-89	0.1815166548550593
1103	90-91	0.19779011708907746
1103	92-93	0.21791807024003162
1103	94-95	0.25544601908962505
1103	96-97	0.21000283429930988
1103	98-99	0.2340784881737008
1103	100-101	0.23956150031158074
1104	1	0.08680146589482263
1104	2	0.08595657364305964
1104	3	0.061933763825742005
1104	4	0.04584806110607076
1104	5	0.05354361430715926
1104	6	0.03535447086535726
1104	7	0.05549866710772733
1104	8	0.06426467128073199
1104	9	0.05244044202323295
1104	10-11	0.07125544938968176
1104	12-13	0.08560914795842223
1104	14-15	0.10627623448262113
1104	16-17	0.12856351621134365
1104	18-19	0.12484122940378484
1104	20-21	0.11310485784014901
1104	22-23	0.08180248236304521
1104	24-25	0.061229354213594434
1104	26-27	0.12721070275762258
1104	28-29	0.11260737947216626
1104	30-31	0.09139498425240333
1104	32-33	0.06898629131447365
1104	34-35	0.08061275498122455
1104	36-37	0.07022902214318094
1104	38-39	0.04670652826069954
1104	40-41	0.0385176441736661
1104	42-43	0.018151732252853492
1104	44-45	0.04470212346242164
1104	46-47	0.013604846528743053
1104	48-49	-0.009908634942974004
1104	50-51	0.00896998349472966
1104	52-53	0.016131640817789616
1104	54-55	0.01189150392566063
1104	56-57	-0.026407245240207544
1104	58-59	-0.04595505691978019
1104	60-61	-0.02940254454960467
1104	62-63	-0.004296346277698149
1104	64-65	-0.01167581339340984
1104	66-67	-0.05069369769815779
1104	68-69	-0.05640258034847534
1104	70-71	-0.04838552427086995
1104	72-73	-0.07701715380085972
1104	74-75	-0.1255466756060244
1104	76-77	-0.0759854668537514
1104	78-79	-0.07694882444275919
1104	80-81	0.004736899022098839
1104	82-83	-0.016522253466348502
1104	84-85	-0.05651587690014992
1104	86-87	-0.0452996298170234
1104	88-89	-0.030692763590216998
1104	90-91	-0.05276798021134965
1104	92-93	-0.060182388860866354
1104	94-95	-0.07939648973613345
1104	96-97	-0.09091305921408122
1104	98-99	-0.06428040428024673
1104	100-101	-0.06808446373349142
1105	1	0.10440913456010747
1105	2	0.12813921626698743
1105	3	0.13272863158922377
1105	4	0.10566019311162478
1105	5	0.11114466109625454
1105	6	0.1136410472862579
1105	7	0.11549767745804473
1105	8	0.13757552917535776
1105	9	0.15024250673916129
1105	10-11	0.15403358016941837
1105	12-13	0.15621762160940733
1105	14-15	0.1896445308985335
1105	16-17	0.16097870986616414
1105	18-19	0.16942151781150727
1105	20-21	0.15759255195990818
1105	22-23	0.17298862543138682
1105	24-25	0.19307756485181216
1105	26-27	0.17852680821674483
1105	28-29	0.19563618619726242
1105	30-31	0.19078855004897832
1105	32-33	0.21001790564282885
1105	34-35	0.19708099605446705
1105	36-37	0.21471273610288222
1105	38-39	0.21003309416724392
1105	40-41	0.2107668393894997
1105	42-43	0.19296939214383713
1105	44-45	0.20452693378189934
1105	46-47	0.18770991401084558
1105	48-49	0.19095756984427936
1105	50-51	0.23028606237399885
1105	52-53	0.2145649293233589
1105	54-55	0.19939431364522875
1105	56-57	0.18302609955321714
1105	58-59	0.21498993117791798
1105	60-61	0.23866644756265032
1105	62-63	0.18555576996839562
1105	64-65	0.17830707702376003
1105	66-67	0.1912505460359526
1105	68-69	0.1775784885698073
1105	70-71	0.17958918132946877
1105	72-73	0.18390780589538736
1105	74-75	0.19907233004852998
1105	76-77	0.1607586343850329
1105	78-79	0.1872025471313421
1105	80-81	0.24887177554665385
1105	82-83	0.24026020066327192
1105	84-85	0.2453251707579085
1105	86-87	0.26265318061694387
1105	88-89	0.24798031117229158
1105	90-91	0.2561238753358239
1105	92-93	0.24616892832542447
1105	94-95	0.24722457607406767
1105	96-97	0.25701078802480737
1105	98-99	0.2743100846619555
1105	100-101	0.26060590267418604
1106	1	0.10693315192687436
1106	2	0.10336539243624543
1106	3	0.09349923307323849
1106	4	0.07832734005591391
1106	5	0.08476200639873355
1106	6	0.10629850663437423
1106	7	0.09514038533320957
1106	8	0.09411733670047795
1106	9	0.1111729920060256
1106	10-11	0.11959760159561483
1106	12-13	0.12345673755095277
1106	14-15	0.15690947708117164
1106	16-17	0.1616060833395423
1106	18-19	0.1525377700571937
1106	20-21	0.1412885284187979
1106	22-23	0.13773403155343544
1106	24-25	0.19060430960804098
1106	26-27	0.198810195810168
1106	28-29	0.16097895769848236
1106	30-31	0.16302462246233063
1106	32-33	0.1392123128707894
1106	34-35	0.15614313705808058
1106	36-37	0.16779822535705335
1106	38-39	0.17570957519214403
1106	40-41	0.17112167998126893
1106	42-43	0.15292910143197247
1106	44-45	0.13070351682983272
1106	46-47	0.1570381201678046
1106	48-49	0.15185054688557642
1106	50-51	0.14167861523893777
1106	52-53	0.14453972744898635
1106	54-55	0.15789163870613265
1106	56-57	0.17511863300426
1106	58-59	0.16100856918334472
1106	60-61	0.19635948622114086
1106	62-63	0.1951717528126835
1106	64-65	0.1477735084414178
1106	66-67	0.1661391578165805
1106	68-69	0.15356423767907756
1106	70-71	0.10011018615496425
1106	72-73	0.1342544447138181
1106	74-75	0.08803364902659183
1106	76-77	0.07866027003026943
1106	78-79	0.159974511081856
